Week,Region,State,Abbreviation,Disease,Total
196601,West,ALABAMA,AL,HEPATITIS A,5
196602,West,ALABAMA,AL,HEPATITIS A,3
196603,West,ALABAMA,AL,HEPATITIS A,2
196604,West,ALABAMA,AL,HEPATITIS A,4
196605,West,ALABAMA,AL,HEPATITIS A,7
196606,West,ALABAMA,AL,HEPATITIS A,4
196608,West,ALABAMA,AL,HEPATITIS A,16
196609,West,ALABAMA,AL,HEPATITIS A,3
196610,West,ALABAMA,AL,HEPATITIS A,14
196611,West,ALABAMA,AL,HEPATITIS A,7
196612,West,ALABAMA,AL,HEPATITIS A,8
196613,West,ALABAMA,AL,HEPATITIS A,6
196614,West,ALABAMA,AL,HEPATITIS A,6
196615,West,ALABAMA,AL,HEPATITIS A,7
196616,West,ALABAMA,AL,HEPATITIS A,19
196617,West,ALABAMA,AL,HEPATITIS A,4
196618,West,ALABAMA,AL,HEPATITIS A,17
196619,West,ALABAMA,AL,HEPATITIS A,4
196620,West,ALABAMA,AL,HEPATITIS A,11
196621,West,ALABAMA,AL,HEPATITIS A,5
196622,West,ALABAMA,AL,HEPATITIS A,3
196623,West,ALABAMA,AL,HEPATITIS A,9
196624,West,ALABAMA,AL,HEPATITIS A,3
196625,West,ALABAMA,AL,HEPATITIS A,10
196627,West,ALABAMA,AL,HEPATITIS A,7
196628,West,ALABAMA,AL,HEPATITIS A,2
196629,West,ALABAMA,AL,HEPATITIS A,2
196630,West,ALABAMA,AL,HEPATITIS A,2
196631,West,ALABAMA,AL,HEPATITIS A,1
196632,West,ALABAMA,AL,HEPATITIS A,6
196633,West,ALABAMA,AL,HEPATITIS A,5
196634,West,ALABAMA,AL,HEPATITIS A,5
196635,West,ALABAMA,AL,HEPATITIS A,4
196636,West,ALABAMA,AL,HEPATITIS A,3
196637,West,ALABAMA,AL,HEPATITIS A,5
196638,West,ALABAMA,AL,HEPATITIS A,3
196639,West,ALABAMA,AL,HEPATITIS A,8
196640,West,ALABAMA,AL,HEPATITIS A,6
196641,West,ALABAMA,AL,HEPATITIS A,7
196642,West,ALABAMA,AL,HEPATITIS A,4
196643,West,ALABAMA,AL,HEPATITIS A,10
196644,West,ALABAMA,AL,HEPATITIS A,7
196645,West,ALABAMA,AL,HEPATITIS A,5
196646,West,ALABAMA,AL,HEPATITIS A,12
196647,West,ALABAMA,AL,HEPATITIS A,5
196648,West,ALABAMA,AL,HEPATITIS A,12
196649,West,ALABAMA,AL,HEPATITIS A,4
196650,West,ALABAMA,AL,HEPATITIS A,11
196651,West,ALABAMA,AL,HEPATITIS A,1
196652,West,ALABAMA,AL,HEPATITIS A,7
196602,West,ALABAMA,AL,MEASLES,9
196603,West,ALABAMA,AL,MEASLES,2
196604,West,ALABAMA,AL,MEASLES,19
196605,West,ALABAMA,AL,MEASLES,11
196606,West,ALABAMA,AL,MEASLES,40
196607,West,ALABAMA,AL,MEASLES,10
196608,West,ALABAMA,AL,MEASLES,202
196609,West,ALABAMA,AL,MEASLES,130
196610,West,ALABAMA,AL,MEASLES,143
196611,West,ALABAMA,AL,MEASLES,114
196612,West,ALABAMA,AL,MEASLES,54
196613,West,ALABAMA,AL,MEASLES,15
196614,West,ALABAMA,AL,MEASLES,17
196615,West,ALABAMA,AL,MEASLES,12
196616,West,ALABAMA,AL,MEASLES,451
196617,West,ALABAMA,AL,MEASLES,38
196618,West,ALABAMA,AL,MEASLES,12
196619,West,ALABAMA,AL,MEASLES,16
196620,West,ALABAMA,AL,MEASLES,77
196621,West,ALABAMA,AL,MEASLES,74
196622,West,ALABAMA,AL,MEASLES,14
196623,West,ALABAMA,AL,MEASLES,54
196624,West,ALABAMA,AL,MEASLES,45
196625,West,ALABAMA,AL,MEASLES,0
196626,West,ALABAMA,AL,MEASLES,4
196627,West,ALABAMA,AL,MEASLES,51
196628,West,ALABAMA,AL,MEASLES,8
196629,West,ALABAMA,AL,MEASLES,27
196630,West,ALABAMA,AL,MEASLES,11
196631,West,ALABAMA,AL,MEASLES,0
196632,West,ALABAMA,AL,MEASLES,3
196633,West,ALABAMA,AL,MEASLES,9
196634,West,ALABAMA,AL,MEASLES,4
196635,West,ALABAMA,AL,MEASLES,1
196636,West,ALABAMA,AL,MEASLES,3
196637,West,ALABAMA,AL,MEASLES,4
196638,West,ALABAMA,AL,MEASLES,1
196639,West,ALABAMA,AL,MEASLES,3
196640,West,ALABAMA,AL,MEASLES,5
196641,West,ALABAMA,AL,MEASLES,4
196642,West,ALABAMA,AL,MEASLES,1
196643,West,ALABAMA,AL,MEASLES,10
196644,West,ALABAMA,AL,MEASLES,10
196645,West,ALABAMA,AL,MEASLES,4
196646,West,ALABAMA,AL,MEASLES,13
196647,West,ALABAMA,AL,MEASLES,14
196648,West,ALABAMA,AL,MEASLES,10
196650,West,ALABAMA,AL,MEASLES,19
196651,West,ALABAMA,AL,MEASLES,1
196652,West,ALABAMA,AL,MEASLES,34
196601,West,ALABAMA,AL,RUBELLA,7
196602,West,ALABAMA,AL,RUBELLA,1
196603,West,ALABAMA,AL,RUBELLA,1
196606,West,ALABAMA,AL,RUBELLA,1
196607,West,ALABAMA,AL,RUBELLA,1
196608,West,ALABAMA,AL,RUBELLA,3
196609,West,ALABAMA,AL,RUBELLA,3
196610,West,ALABAMA,AL,RUBELLA,7
196612,West,ALABAMA,AL,RUBELLA,4
196613,West,ALABAMA,AL,RUBELLA,5
196614,West,ALABAMA,AL,RUBELLA,5
196615,West,ALABAMA,AL,RUBELLA,7
196616,West,ALABAMA,AL,RUBELLA,6
196617,West,ALABAMA,AL,RUBELLA,1
196618,West,ALABAMA,AL,RUBELLA,6
196619,West,ALABAMA,AL,RUBELLA,16
196620,West,ALABAMA,AL,RUBELLA,6
196621,West,ALABAMA,AL,RUBELLA,2
196622,West,ALABAMA,AL,RUBELLA,1
196623,West,ALABAMA,AL,RUBELLA,3
196624,West,ALABAMA,AL,RUBELLA,3
196625,West,ALABAMA,AL,RUBELLA,1
196626,West,ALABAMA,AL,RUBELLA,3
196627,West,ALABAMA,AL,RUBELLA,4
196628,West,ALABAMA,AL,RUBELLA,1
196629,West,ALABAMA,AL,RUBELLA,4
196631,West,ALABAMA,AL,RUBELLA,1
196634,West,ALABAMA,AL,RUBELLA,5
196644,West,ALABAMA,AL,RUBELLA,1
196648,West,ALABAMA,AL,RUBELLA,1
196652,West,ALABAMA,AL,RUBELLA,2
196602,Southeast,ALASKA,AK,HEPATITIS A,6
196604,Southeast,ALASKA,AK,HEPATITIS A,1
196605,Southeast,ALASKA,AK,HEPATITIS A,1
196606,Southeast,ALASKA,AK,HEPATITIS A,1
196607,Southeast,ALASKA,AK,HEPATITIS A,3
196609,Southeast,ALASKA,AK,HEPATITIS A,2
196610,Southeast,ALASKA,AK,HEPATITIS A,11
196611,Southeast,ALASKA,AK,HEPATITIS A,1
196613,Southeast,ALASKA,AK,HEPATITIS A,3
196615,Southeast,ALASKA,AK,HEPATITIS A,1
196616,Southeast,ALASKA,AK,HEPATITIS A,1
196617,Southeast,ALASKA,AK,HEPATITIS A,1
196619,Southeast,ALASKA,AK,HEPATITIS A,2
196621,Southeast,ALASKA,AK,HEPATITIS A,4
196622,Southeast,ALASKA,AK,HEPATITIS A,1
196624,Southeast,ALASKA,AK,HEPATITIS A,6
196626,Southeast,ALASKA,AK,HEPATITIS A,1
196627,Southeast,ALASKA,AK,HEPATITIS A,1
196628,Southeast,ALASKA,AK,HEPATITIS A,10
196630,Southeast,ALASKA,AK,HEPATITIS A,1
196633,Southeast,ALASKA,AK,HEPATITIS A,3
196634,Southeast,ALASKA,AK,HEPATITIS A,3
196636,Southeast,ALASKA,AK,HEPATITIS A,6
196637,Southeast,ALASKA,AK,HEPATITIS A,3
196638,Southeast,ALASKA,AK,HEPATITIS A,1
196640,Southeast,ALASKA,AK,HEPATITIS A,1
196641,Southeast,ALASKA,AK,HEPATITIS A,3
196642,Southeast,ALASKA,AK,HEPATITIS A,1
196643,Southeast,ALASKA,AK,HEPATITIS A,5
196644,Southeast,ALASKA,AK,HEPATITIS A,1
196646,Southeast,ALASKA,AK,HEPATITIS A,2
196648,Southeast,ALASKA,AK,HEPATITIS A,1
196649,Southeast,ALASKA,AK,HEPATITIS A,1
196652,Southeast,ALASKA,AK,HEPATITIS A,1
196604,Southeast,ALASKA,AK,MEASLES,1
196605,Southeast,ALASKA,AK,MEASLES,1
196606,Southeast,ALASKA,AK,MEASLES,5
196607,Southeast,ALASKA,AK,MEASLES,1
196608,Southeast,ALASKA,AK,MEASLES,0
196609,Southeast,ALASKA,AK,MEASLES,1
196610,Southeast,ALASKA,AK,MEASLES,8
196611,Southeast,ALASKA,AK,MEASLES,2
196612,Southeast,ALASKA,AK,MEASLES,4
196613,Southeast,ALASKA,AK,MEASLES,2
196614,Southeast,ALASKA,AK,MEASLES,24
196615,Southeast,ALASKA,AK,MEASLES,1
196616,Southeast,ALASKA,AK,MEASLES,7
196617,Southeast,ALASKA,AK,MEASLES,0
196618,Southeast,ALASKA,AK,MEASLES,3
196619,Southeast,ALASKA,AK,MEASLES,18
196620,Southeast,ALASKA,AK,MEASLES,22
196621,Southeast,ALASKA,AK,MEASLES,22
196622,Southeast,ALASKA,AK,MEASLES,0
196623,Southeast,ALASKA,AK,MEASLES,41
196624,Southeast,ALASKA,AK,MEASLES,1
196625,Southeast,ALASKA,AK,MEASLES,24
196626,Southeast,ALASKA,AK,MEASLES,2
196627,Southeast,ALASKA,AK,MEASLES,30
196628,Southeast,ALASKA,AK,MEASLES,89
196629,Southeast,ALASKA,AK,MEASLES,8
196630,Southeast,ALASKA,AK,MEASLES,14
196631,Southeast,ALASKA,AK,MEASLES,8
196632,Southeast,ALASKA,AK,MEASLES,51
196633,Southeast,ALASKA,AK,MEASLES,76
196634,Southeast,ALASKA,AK,MEASLES,0
196635,Southeast,ALASKA,AK,MEASLES,4
196636,Southeast,ALASKA,AK,MEASLES,30
196637,Southeast,ALASKA,AK,MEASLES,7
196638,Southeast,ALASKA,AK,MEASLES,15
196639,Southeast,ALASKA,AK,MEASLES,1
196640,Southeast,ALASKA,AK,MEASLES,11
196641,Southeast,ALASKA,AK,MEASLES,5
196642,Southeast,ALASKA,AK,MEASLES,11
196643,Southeast,ALASKA,AK,MEASLES,9
196644,Southeast,ALASKA,AK,MEASLES,11
196645,Southeast,ALASKA,AK,MEASLES,10
196646,Southeast,ALASKA,AK,MEASLES,11
196647,Southeast,ALASKA,AK,MEASLES,14
196648,Southeast,ALASKA,AK,MEASLES,9
196650,Southeast,ALASKA,AK,MEASLES,17
196651,Southeast,ALASKA,AK,MEASLES,10
196652,Southeast,ALASKA,AK,MEASLES,0
196605,Southeast,ALASKA,AK,RUBELLA,8
196606,Southeast,ALASKA,AK,RUBELLA,5
196607,Southeast,ALASKA,AK,RUBELLA,1
196608,Southeast,ALASKA,AK,RUBELLA,1
196609,Southeast,ALASKA,AK,RUBELLA,2
196610,Southeast,ALASKA,AK,RUBELLA,3
196611,Southeast,ALASKA,AK,RUBELLA,2
196612,Southeast,ALASKA,AK,RUBELLA,2
196613,Southeast,ALASKA,AK,RUBELLA,5
196614,Southeast,ALASKA,AK,RUBELLA,6
196615,Southeast,ALASKA,AK,RUBELLA,4
196616,Southeast,ALASKA,AK,RUBELLA,12
196617,Southeast,ALASKA,AK,RUBELLA,2
196618,Southeast,ALASKA,AK,RUBELLA,10
196619,Southeast,ALASKA,AK,RUBELLA,1
196620,Southeast,ALASKA,AK,RUBELLA,2
196621,Southeast,ALASKA,AK,RUBELLA,1
196623,Southeast,ALASKA,AK,RUBELLA,2
196625,Southeast,ALASKA,AK,RUBELLA,2
196626,Southeast,ALASKA,AK,RUBELLA,1
196627,Southeast,ALASKA,AK,RUBELLA,2
196628,Southeast,ALASKA,AK,RUBELLA,6
196631,Southeast,ALASKA,AK,RUBELLA,1
196632,Southeast,ALASKA,AK,RUBELLA,4
196634,Southeast,ALASKA,AK,RUBELLA,1
196635,Southeast,ALASKA,AK,RUBELLA,1
196639,Southeast,ALASKA,AK,RUBELLA,2
196640,Southeast,ALASKA,AK,RUBELLA,2
196641,Southeast,ALASKA,AK,RUBELLA,1
196643,Southeast,ALASKA,AK,RUBELLA,2
196644,Southeast,ALASKA,AK,RUBELLA,4
196645,Southeast,ALASKA,AK,RUBELLA,2
196647,Southeast,ALASKA,AK,RUBELLA,1
196648,Southeast,ALASKA,AK,RUBELLA,3
196650,Southeast,ALASKA,AK,RUBELLA,3
196651,Southeast,ALASKA,AK,RUBELLA,5
196601,Southwest,ARIZONA,AZ,HEPATITIS A,6
196602,Southwest,ARIZONA,AZ,HEPATITIS A,25
196603,Southwest,ARIZONA,AZ,HEPATITIS A,9
196604,Southwest,ARIZONA,AZ,HEPATITIS A,18
196605,Southwest,ARIZONA,AZ,HEPATITIS A,12
196606,Southwest,ARIZONA,AZ,HEPATITIS A,9
196607,Southwest,ARIZONA,AZ,HEPATITIS A,8
196608,Southwest,ARIZONA,AZ,HEPATITIS A,12
196609,Southwest,ARIZONA,AZ,HEPATITIS A,6
196610,Southwest,ARIZONA,AZ,HEPATITIS A,7
196611,Southwest,ARIZONA,AZ,HEPATITIS A,2
196612,Southwest,ARIZONA,AZ,HEPATITIS A,12
196613,Southwest,ARIZONA,AZ,HEPATITIS A,5
196614,Southwest,ARIZONA,AZ,HEPATITIS A,8
196615,Southwest,ARIZONA,AZ,HEPATITIS A,5
196616,Southwest,ARIZONA,AZ,HEPATITIS A,3
196618,Southwest,ARIZONA,AZ,HEPATITIS A,5
196619,Southwest,ARIZONA,AZ,HEPATITIS A,9
196620,Southwest,ARIZONA,AZ,HEPATITIS A,4
196621,Southwest,ARIZONA,AZ,HEPATITIS A,1
196622,Southwest,ARIZONA,AZ,HEPATITIS A,3
196623,Southwest,ARIZONA,AZ,HEPATITIS A,5
196624,Southwest,ARIZONA,AZ,HEPATITIS A,8
196625,Southwest,ARIZONA,AZ,HEPATITIS A,3
196626,Southwest,ARIZONA,AZ,HEPATITIS A,2
196627,Southwest,ARIZONA,AZ,HEPATITIS A,5
196628,Southwest,ARIZONA,AZ,HEPATITIS A,7
196629,Southwest,ARIZONA,AZ,HEPATITIS A,5
196630,Southwest,ARIZONA,AZ,HEPATITIS A,9
196631,Southwest,ARIZONA,AZ,HEPATITIS A,11
196632,Southwest,ARIZONA,AZ,HEPATITIS A,7
196633,Southwest,ARIZONA,AZ,HEPATITIS A,8
196634,Southwest,ARIZONA,AZ,HEPATITIS A,4
196635,Southwest,ARIZONA,AZ,HEPATITIS A,7
196637,Southwest,ARIZONA,AZ,HEPATITIS A,16
196638,Southwest,ARIZONA,AZ,HEPATITIS A,12
196639,Southwest,ARIZONA,AZ,HEPATITIS A,6
196640,Southwest,ARIZONA,AZ,HEPATITIS A,13
196641,Southwest,ARIZONA,AZ,HEPATITIS A,5
196642,Southwest,ARIZONA,AZ,HEPATITIS A,1
196643,Southwest,ARIZONA,AZ,HEPATITIS A,10
196644,Southwest,ARIZONA,AZ,HEPATITIS A,8
196645,Southwest,ARIZONA,AZ,HEPATITIS A,11
196646,Southwest,ARIZONA,AZ,HEPATITIS A,11
196647,Southwest,ARIZONA,AZ,HEPATITIS A,7
196648,Southwest,ARIZONA,AZ,HEPATITIS A,9
196649,Southwest,ARIZONA,AZ,HEPATITIS A,10
196650,Southwest,ARIZONA,AZ,HEPATITIS A,6
196651,Southwest,ARIZONA,AZ,HEPATITIS A,9
196652,Southwest,ARIZONA,AZ,HEPATITIS A,31
196601,Southwest,ARIZONA,AZ,MEASLES,98
196602,Southwest,ARIZONA,AZ,MEASLES,77
196603,Southwest,ARIZONA,AZ,MEASLES,58
196604,Southwest,ARIZONA,AZ,MEASLES,94
196605,Southwest,ARIZONA,AZ,MEASLES,161
196606,Southwest,ARIZONA,AZ,MEASLES,276
196607,Southwest,ARIZONA,AZ,MEASLES,132
196608,Southwest,ARIZONA,AZ,MEASLES,245
196609,Southwest,ARIZONA,AZ,MEASLES,316
196610,Southwest,ARIZONA,AZ,MEASLES,312
196611,Southwest,ARIZONA,AZ,MEASLES,362
196612,Southwest,ARIZONA,AZ,MEASLES,216
196613,Southwest,ARIZONA,AZ,MEASLES,275
196614,Southwest,ARIZONA,AZ,MEASLES,309
196615,Southwest,ARIZONA,AZ,MEASLES,307
196616,Southwest,ARIZONA,AZ,MEASLES,278
196617,Southwest,ARIZONA,AZ,MEASLES,227
196618,Southwest,ARIZONA,AZ,MEASLES,319
196619,Southwest,ARIZONA,AZ,MEASLES,176
196620,Southwest,ARIZONA,AZ,MEASLES,190
196621,Southwest,ARIZONA,AZ,MEASLES,136
196622,Southwest,ARIZONA,AZ,MEASLES,147
196623,Southwest,ARIZONA,AZ,MEASLES,196
196624,Southwest,ARIZONA,AZ,MEASLES,122
196625,Southwest,ARIZONA,AZ,MEASLES,62
196626,Southwest,ARIZONA,AZ,MEASLES,66
196627,Southwest,ARIZONA,AZ,MEASLES,56
196628,Southwest,ARIZONA,AZ,MEASLES,33
196629,Southwest,ARIZONA,AZ,MEASLES,20
196630,Southwest,ARIZONA,AZ,MEASLES,16
196631,Southwest,ARIZONA,AZ,MEASLES,9
196632,Southwest,ARIZONA,AZ,MEASLES,27
196633,Southwest,ARIZONA,AZ,MEASLES,10
196634,Southwest,ARIZONA,AZ,MEASLES,13
196635,Southwest,ARIZONA,AZ,MEASLES,3
196636,Southwest,ARIZONA,AZ,MEASLES,0
196637,Southwest,ARIZONA,AZ,MEASLES,7
196638,Southwest,ARIZONA,AZ,MEASLES,9
196639,Southwest,ARIZONA,AZ,MEASLES,0
196640,Southwest,ARIZONA,AZ,MEASLES,2
196641,Southwest,ARIZONA,AZ,MEASLES,10
196642,Southwest,ARIZONA,AZ,MEASLES,5
196643,Southwest,ARIZONA,AZ,MEASLES,8
196644,Southwest,ARIZONA,AZ,MEASLES,3
196645,Southwest,ARIZONA,AZ,MEASLES,5
196646,Southwest,ARIZONA,AZ,MEASLES,2
196647,Southwest,ARIZONA,AZ,MEASLES,10
196648,Southwest,ARIZONA,AZ,MEASLES,6
196650,Southwest,ARIZONA,AZ,MEASLES,11
196651,Southwest,ARIZONA,AZ,MEASLES,6
196652,Southwest,ARIZONA,AZ,MEASLES,10
196601,Southwest,ARIZONA,AZ,RUBELLA,29
196602,Southwest,ARIZONA,AZ,RUBELLA,53
196603,Southwest,ARIZONA,AZ,RUBELLA,35
196604,Southwest,ARIZONA,AZ,RUBELLA,37
196605,Southwest,ARIZONA,AZ,RUBELLA,162
196606,Southwest,ARIZONA,AZ,RUBELLA,127
196607,Southwest,ARIZONA,AZ,RUBELLA,101
196608,Southwest,ARIZONA,AZ,RUBELLA,83
196609,Southwest,ARIZONA,AZ,RUBELLA,114
196610,Southwest,ARIZONA,AZ,RUBELLA,161
196611,Southwest,ARIZONA,AZ,RUBELLA,150
196612,Southwest,ARIZONA,AZ,RUBELLA,135
196613,Southwest,ARIZONA,AZ,RUBELLA,82
196614,Southwest,ARIZONA,AZ,RUBELLA,118
196615,Southwest,ARIZONA,AZ,RUBELLA,130
196616,Southwest,ARIZONA,AZ,RUBELLA,91
196617,Southwest,ARIZONA,AZ,RUBELLA,75
196618,Southwest,ARIZONA,AZ,RUBELLA,147
196619,Southwest,ARIZONA,AZ,RUBELLA,79
196620,Southwest,ARIZONA,AZ,RUBELLA,105
196621,Southwest,ARIZONA,AZ,RUBELLA,50
196622,Southwest,ARIZONA,AZ,RUBELLA,62
196623,Southwest,ARIZONA,AZ,RUBELLA,87
196624,Southwest,ARIZONA,AZ,RUBELLA,62
196625,Southwest,ARIZONA,AZ,RUBELLA,16
196626,Southwest,ARIZONA,AZ,RUBELLA,36
196627,Southwest,ARIZONA,AZ,RUBELLA,17
196628,Southwest,ARIZONA,AZ,RUBELLA,20
196629,Southwest,ARIZONA,AZ,RUBELLA,22
196630,Southwest,ARIZONA,AZ,RUBELLA,15
196631,Southwest,ARIZONA,AZ,RUBELLA,18
196632,Southwest,ARIZONA,AZ,RUBELLA,13
196633,Southwest,ARIZONA,AZ,RUBELLA,9
196634,Southwest,ARIZONA,AZ,RUBELLA,4
196635,Southwest,ARIZONA,AZ,RUBELLA,6
196637,Southwest,ARIZONA,AZ,RUBELLA,4
196638,Southwest,ARIZONA,AZ,RUBELLA,4
196639,Southwest,ARIZONA,AZ,RUBELLA,5
196640,Southwest,ARIZONA,AZ,RUBELLA,2
196641,Southwest,ARIZONA,AZ,RUBELLA,9
196642,Southwest,ARIZONA,AZ,RUBELLA,6
196643,Southwest,ARIZONA,AZ,RUBELLA,10
196644,Southwest,ARIZONA,AZ,RUBELLA,5
196645,Southwest,ARIZONA,AZ,RUBELLA,26
196646,Southwest,ARIZONA,AZ,RUBELLA,3
196647,Southwest,ARIZONA,AZ,RUBELLA,5
196648,Southwest,ARIZONA,AZ,RUBELLA,9
196650,Southwest,ARIZONA,AZ,RUBELLA,18
196651,Southwest,ARIZONA,AZ,RUBELLA,2
196652,Southwest,ARIZONA,AZ,RUBELLA,15
196601,Southeast,ARKANSAS,AR,HEPATITIS A,11
196602,Southeast,ARKANSAS,AR,HEPATITIS A,6
196603,Southeast,ARKANSAS,AR,HEPATITIS A,2
196604,Southeast,ARKANSAS,AR,HEPATITIS A,9
196605,Southeast,ARKANSAS,AR,HEPATITIS A,9
196606,Southeast,ARKANSAS,AR,HEPATITIS A,8
196607,Southeast,ARKANSAS,AR,HEPATITIS A,6
196608,Southeast,ARKANSAS,AR,HEPATITIS A,7
196609,Southeast,ARKANSAS,AR,HEPATITIS A,8
196610,Southeast,ARKANSAS,AR,HEPATITIS A,9
196611,Southeast,ARKANSAS,AR,HEPATITIS A,4
196612,Southeast,ARKANSAS,AR,HEPATITIS A,12
196613,Southeast,ARKANSAS,AR,HEPATITIS A,16
196614,Southeast,ARKANSAS,AR,HEPATITIS A,1
196615,Southeast,ARKANSAS,AR,HEPATITIS A,10
196616,Southeast,ARKANSAS,AR,HEPATITIS A,9
196617,Southeast,ARKANSAS,AR,HEPATITIS A,9
196618,Southeast,ARKANSAS,AR,HEPATITIS A,7
196619,Southeast,ARKANSAS,AR,HEPATITIS A,9
196620,Southeast,ARKANSAS,AR,HEPATITIS A,5
196621,Southeast,ARKANSAS,AR,HEPATITIS A,6
196622,Southeast,ARKANSAS,AR,HEPATITIS A,4
196623,Southeast,ARKANSAS,AR,HEPATITIS A,1
196624,Southeast,ARKANSAS,AR,HEPATITIS A,3
196625,Southeast,ARKANSAS,AR,HEPATITIS A,1
196626,Southeast,ARKANSAS,AR,HEPATITIS A,4
196627,Southeast,ARKANSAS,AR,HEPATITIS A,1
196628,Southeast,ARKANSAS,AR,HEPATITIS A,10
196629,Southeast,ARKANSAS,AR,HEPATITIS A,7
196630,Southeast,ARKANSAS,AR,HEPATITIS A,4
196631,Southeast,ARKANSAS,AR,HEPATITIS A,8
196632,Southeast,ARKANSAS,AR,HEPATITIS A,3
196633,Southeast,ARKANSAS,AR,HEPATITIS A,4
196634,Southeast,ARKANSAS,AR,HEPATITIS A,5
196635,Southeast,ARKANSAS,AR,HEPATITIS A,7
196636,Southeast,ARKANSAS,AR,HEPATITIS A,5
196637,Southeast,ARKANSAS,AR,HEPATITIS A,3
196638,Southeast,ARKANSAS,AR,HEPATITIS A,5
196639,Southeast,ARKANSAS,AR,HEPATITIS A,8
196640,Southeast,ARKANSAS,AR,HEPATITIS A,3
196641,Southeast,ARKANSAS,AR,HEPATITIS A,8
196642,Southeast,ARKANSAS,AR,HEPATITIS A,5
196643,Southeast,ARKANSAS,AR,HEPATITIS A,7
196644,Southeast,ARKANSAS,AR,HEPATITIS A,8
196645,Southeast,ARKANSAS,AR,HEPATITIS A,3
196646,Southeast,ARKANSAS,AR,HEPATITIS A,5
196647,Southeast,ARKANSAS,AR,HEPATITIS A,2
196648,Southeast,ARKANSAS,AR,HEPATITIS A,3
196649,Southeast,ARKANSAS,AR,HEPATITIS A,3
196650,Southeast,ARKANSAS,AR,HEPATITIS A,4
196651,Southeast,ARKANSAS,AR,HEPATITIS A,1
196652,Southeast,ARKANSAS,AR,HEPATITIS A,1
196601,Southeast,ARKANSAS,AR,MEASLES,2
196602,Southeast,ARKANSAS,AR,MEASLES,16
196603,Southeast,ARKANSAS,AR,MEASLES,3
196604,Southeast,ARKANSAS,AR,MEASLES,1
196605,Southeast,ARKANSAS,AR,MEASLES,1
196606,Southeast,ARKANSAS,AR,MEASLES,1
196607,Southeast,ARKANSAS,AR,MEASLES,13
196608,Southeast,ARKANSAS,AR,MEASLES,0
196609,Southeast,ARKANSAS,AR,MEASLES,65
196610,Southeast,ARKANSAS,AR,MEASLES,0
196611,Southeast,ARKANSAS,AR,MEASLES,19
196612,Southeast,ARKANSAS,AR,MEASLES,201
196613,Southeast,ARKANSAS,AR,MEASLES,0
196614,Southeast,ARKANSAS,AR,MEASLES,53
196615,Southeast,ARKANSAS,AR,MEASLES,0
196616,Southeast,ARKANSAS,AR,MEASLES,50
196617,Southeast,ARKANSAS,AR,MEASLES,98
196618,Southeast,ARKANSAS,AR,MEASLES,5
196619,Southeast,ARKANSAS,AR,MEASLES,202
196620,Southeast,ARKANSAS,AR,MEASLES,0
196621,Southeast,ARKANSAS,AR,MEASLES,14
196622,Southeast,ARKANSAS,AR,MEASLES,0
196623,Southeast,ARKANSAS,AR,MEASLES,6
196624,Southeast,ARKANSAS,AR,MEASLES,204
196625,Southeast,ARKANSAS,AR,MEASLES,1
196626,Southeast,ARKANSAS,AR,MEASLES,11
196627,Southeast,ARKANSAS,AR,MEASLES,0
196628,Southeast,ARKANSAS,AR,MEASLES,0
196629,Southeast,ARKANSAS,AR,MEASLES,0
196630,Southeast,ARKANSAS,AR,MEASLES,0
196631,Southeast,ARKANSAS,AR,MEASLES,0
196632,Southeast,ARKANSAS,AR,MEASLES,0
196633,Southeast,ARKANSAS,AR,MEASLES,0
196634,Southeast,ARKANSAS,AR,MEASLES,4
196635,Southeast,ARKANSAS,AR,MEASLES,1
196636,Southeast,ARKANSAS,AR,MEASLES,0
196637,Southeast,ARKANSAS,AR,MEASLES,0
196638,Southeast,ARKANSAS,AR,MEASLES,0
196639,Southeast,ARKANSAS,AR,MEASLES,0
196640,Southeast,ARKANSAS,AR,MEASLES,0
196641,Southeast,ARKANSAS,AR,MEASLES,0
196642,Southeast,ARKANSAS,AR,MEASLES,0
196643,Southeast,ARKANSAS,AR,MEASLES,1
196644,Southeast,ARKANSAS,AR,MEASLES,0
196645,Southeast,ARKANSAS,AR,MEASLES,7
196646,Southeast,ARKANSAS,AR,MEASLES,0
196647,Southeast,ARKANSAS,AR,MEASLES,3
196648,Southeast,ARKANSAS,AR,MEASLES,0
196650,Southeast,ARKANSAS,AR,MEASLES,174
196651,Southeast,ARKANSAS,AR,MEASLES,14
196652,Southeast,ARKANSAS,AR,MEASLES,207
196606,Southeast,ARKANSAS,AR,RUBELLA,1
196614,Southeast,ARKANSAS,AR,RUBELLA,1
196618,Southeast,ARKANSAS,AR,RUBELLA,1
196623,Southeast,ARKANSAS,AR,RUBELLA,1
196626,Southeast,ARKANSAS,AR,RUBELLA,1
196640,Southeast,ARKANSAS,AR,RUBELLA,1
196648,Southeast,ARKANSAS,AR,RUBELLA,4
196601,West,CALIFORNIA,CA,HEPATITIS A,89
196602,West,CALIFORNIA,CA,HEPATITIS A,122
196603,West,CALIFORNIA,CA,HEPATITIS A,98
196604,West,CALIFORNIA,CA,HEPATITIS A,132
196605,West,CALIFORNIA,CA,HEPATITIS A,130
196606,West,CALIFORNIA,CA,HEPATITIS A,143
196607,West,CALIFORNIA,CA,HEPATITIS A,149
196608,West,CALIFORNIA,CA,HEPATITIS A,101
196609,West,CALIFORNIA,CA,HEPATITIS A,101
196610,West,CALIFORNIA,CA,HEPATITIS A,106
